category,product_name,revenue
Beauty,Product_44016,277567.99
Beauty,Product_14849,274894.2
Beauty,Product_786,272174.7
Books,Product_35314,296468.77999999997
Books,Product_28311,286757.72
Books,Product_37479,276736.71
Clothing,Product_7025,293821.97
Clothing,Product_1560,288474.09
Clothing,Product_31322,282241.17
Electronics,Product_6719,299113.87
Electronics,Product_23519,289561.72
Electronics,Product_38170,288875.23
Home & Kitchen,Product_5012,305836.22
Home & Kitchen,Product_37452,286817.42
Home & Kitchen,Product_27682,283340.36
Sports,Product_41700,297548.24
Sports,Product_33334,279540.94
Sports,Product_32124,277392.05
Toys,Product_4967,298987.2
Toys,Product_44886,296493.19
Toys,Product_30359,293813.56
